Coordenada X, Coordenada Y, Angulo, Escala
400,300,0.55292030703186,0.1
400,300,0.59061941887494,0.1
400,300,0.62831853071803,0.1
400,300,0.66601764256111,0.1
400,300,0.7037167544042,0.1
400,300,0.74141586624729,0.1
400,300,0.77911497809037,0.1
400,300,0.81681408993346,0.1
400,300,0.85451320177655,0.1
400,300,0.89221231361963,0.1
400,300,0.92991142546272,0.1
400,300,0.9676105373058,0.1
400,300,1.0053096491489,0.1
400,300,1.043008760992,0.1
400,300,1.0807078728351,0.1
400,300,1.1184069846781,0.1
400,300,1.1561060965212,0.1
400,300,1.1938052083643,0.1
400,300,1.2315043202074,0.1
400,300,1.2692034320505,0.1
400,300,1.3069025438936,0.1
400,300,1.3446016557367,0.1
400,300,1.3823007675798,0.1
400,300,1.4199998794228,0.1
400,300,1.4576989912659,0.1
